imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
mediana-movel,rj-am,bbr,bi-LSTM,42.54026243532903,22.58492973459505,0.12957593750613933
mediana-movel,rj-am,bbr,GRU,41.48985495704964,21.830075304054766,0.12637643835005333
mediana-movel,rj-am,bbr,LSTM,43.87578977320458,24.68229810365314,0.133643900348009
mediana-movel,rj-go,bbr,bi-LSTM,70.45058915137092,36.55582259799793,0.1539392822516786
mediana-movel,rj-go,bbr,GRU,72.66883323005544,36.132557622128026,0.15878629496576727
mediana-movel,rj-go,bbr,LSTM,76.29740203744768,40.01354012947879,0.16671496219962986
mediana-movel,ro-se,bbr,bi-LSTM,8.955986664659736,5.696595236135558,0.12733844028149868
mediana-movel,ro-se,bbr,GRU,8.802876004890798,5.637754332251314,0.12516147493580626
mediana-movel,ro-se,bbr,LSTM,9.081251480134313,5.927530566103644,0.12911948650476127
mediana-movel,rs-go,bbr,bi-LSTM,15.149754144769433,8.852083206495646,0.12498254150990774
mediana-movel,rs-go,bbr,GRU,15.032157103376031,8.917240920397466,0.12401238866340313
mediana-movel,rs-go,bbr,LSTM,15.812205337346018,9.398901648871536,0.13044763572089707
mediana-movel,rs-pe,bbr,bi-LSTM,499.1080269239699,367.1507777446254,0.19083449943048805
mediana-movel,rs-pe,bbr,GRU,504.0472948466318,370.6034871324246,0.19272303391746765
mediana-movel,rs-pe,bbr,LSTM,518.7342441402404,382.823124925144,0.19833860502715392
mediana-movel,se-es,bbr,bi-LSTM,11.551555986378316,7.538770399675392,0.14381617040165026
mediana-movel,se-es,bbr,GRU,11.433618505835907,7.909754392743177,0.14234785593228966
mediana-movel,se-es,bbr,LSTM,11.631689734641139,8.045312894861354,0.144813830700287
mediana-movel,to-ba,bbr,bi-LSTM,28.408021092106626,20.05069590364583,0.17114492600437392
mediana-movel,to-ba,bbr,GRU,28.486431298601804,21.2518548179284,0.17161731050961965
mediana-movel,to-ba,bbr,LSTM,28.962972542524483,20.843272926890766,0.17448824670277252
mediana-movel,to-rs,bbr,bi-LSTM,58.892945514585946,32.11545871285395,0.1309816161329902
mediana-movel,to-rs,bbr,GRU,57.96954890531685,30.790494607962884,0.1289279239775548
mediana-movel,to-rs,bbr,LSTM,59.272749382664664,32.337481267348885,0.13182632383133738
svd,ap-ba,bbr,bi-LSTM,31.22288538762278,21.980292190117705,0.1540745442977341
svd,ap-ba,bbr,GRU,30.459423095001895,21.233267993519892,0.1503071120644948
svd,ap-ba,bbr,LSTM,31.749866581810597,22.25616463060931,0.15667502104227451
svd,ba-go,bbr,bi-LSTM,21.03116764666918,15.44147441070043,0.17475673681118295
svd,ba-go,bbr,GRU,21.04567535400655,15.569263240685459,0.17487728739760236
svd,ba-go,bbr,LSTM,21.59161953401872,16.47728413551437,0.17941376511404972
svd,ba-pa,bbr,bi-LSTM,20.00008137845761,13.745403535167448,0.18541346160831143
svd,ba-pa,bbr,GRU,19.616747558820986,13.235850304743982,0.1818597135457201
svd,ba-pa,bbr,LSTM,20.09464118691699,13.786600426843057,0.1862900911121472
svd,ba-pe,bbr,bi-LSTM,581.8796221509641,427.7245375543812,0.17611296478334695
svd,ba-pe,bbr,GRU,600.0006119890191,454.8309479039286,0.18159750337810257
